Bhajan,Deity,Meaning,Level,Tempo,Language,Raga
Kausalyaamthmaja Rama Charan ,Rama,"We seek refuge at) the (Lotus) feet of Lord Rama,
who is the very soul of Kausalya, whom Seetha (Vaidehi) is fond of, 
who is served by Maruti (Hanuman), who is worshipped by Bharatha, 
who uplifted Ahalya (from the curse of a sage), who is the 
personification of peace, who dwells at Puttaparthi, who is none other than Sathya Sai",advanced,medium,sanskrit / hindi,shuddha dhanyasi
Mohana Rama Hey Sairama ,Rama,"Hey Sai Thou art the beautiful enchanting Rama, the One with
the holy auspicious name - Rama of Prashanti, the One full 
of mercy and compassion, the One who is fond of His devotees 
and protects them, You are Sai Rama, the Lord of Puttaparthi",advanced,medium slow,sanskrit / hindi,pantuvarali / puriya dhanashri
Parama Dayaakara Shree Ramachandra ,Rama,"Most merciful Rama, O blissful Sai
Rama, victory to Thee. You are the delight of the whole world. 
You are the cynosure of all eyes. You are the uplifter of the 
whole world. Victory to Thee (in Thy task of redeeming mankind). ",,,sanskrit / hindi,
Raghava Sundar Rama Raghuvara ,Rama,"Beautiful Lord Rama is supremest among Raghu dynasty. He is
protector and uplifter of devotees and extremely auspicious. He is 
worshipped by entire creation. He destroys obstacles and 
annihilated demon King Ravana. Worship Lord Narayana, who has incarnated in Parthipuri as Lord Sai Ram.",advanced,medium slow,sanskrit / hindi,revathi / bhairagi bhairav
Raghukula Bhooshana Rajeeva Nayana ,Rama,"Hey Sathya Sai Rama, You are the jewel of the Raghu dynasty, You
have beautiful eyes, You are the son of Eshwaramba. You are 
the beautiful Rama, the consort of Janaki. You are the incomparable 
enchanting One with divine qualities. You are the One whose abode 
is the auspicious Prashanti Nilayam. Victory to You, Lord Sai Ram",advanced,slow,sanskrit / hindi,madhuvanti
Raghu Nandana Hey Raghunandana ,Rama,"Hey Rama, son of Raghus, my beloved child, You are the One with
beautiful eyes. You are the son of Dasharatha and the destroyer 
of the ten headed demon Ravana. And You are the very breath of Janaki",advanced,medium slow,sanskrit / hindi,kalyana vasantham
Raghu Nandana Raaghava Rama Harey ,Rama,"Worship Lord Rama of raghu dynasty. Worship the Lotus eyed Lord Rama
who is the very life breath of Seetha. Lord Rama destroys ignorance and evils",intermediate,slow,sanskrit / hindi,sindhu bhairavi / bhairavi
Raghu Pathey Raaghava Raaja Rama ,Rama,"Praises Lord Rama of the Raghu dynasty, son of Dasaratha, son of Kausalya, all Glory and Victory to you.",advanced,fast,sanskrit / hindi,chandrakauns
Raghupathi Raaghava Raaja Ram ,Rama,Chant the name of the princely Rama of Ayodhya. Chant the name of Sai Ram whose name purifies us,advanced,slow,sanskrit / hindi,desh
Raghupathi Raaghava Ram Kaho ,Rama,"Chant the name of Lotus-Eyed Lord Rama of Raghu dynasty. Chant, 'Ram Ram Sai Ram'.",,,sanskrit / hindi,shankarabharanam / bilawal
Raghuveera Ranadheera Rama Rama Ram ,Rama,"Chant the name of Ram, hero of the Raghu race, brave, skillful in battle; Lord Vitthala of Rukmini;
Hey Ram, You are so beautiful and delicate. You were Shirdi Sai and You are now Sathya Sai, Glory to Ram, Lord of Seetha.",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Ram Jai Jai Ram Jai Jai Ram ,Rama,"Victory to You, Hey Ram, consort of Seetha. Victory to You
Sai Rama, the son of Raghu dynasty. You lifted Ahalya from a 
curse (given by a Rishi). You are the jewel of the Raghu clan. Victory to You, Ram",,,sanskrit / hindi,yaman kalyan
Rama Charan Sukha Dayi Bhajore ,Rama,"Chant at the sacred feet of Rama - that gives happiness;
Those two syllables in the word 'Rama' encompasses all the 
joy, peace and happiness. Make your life worthwhile by 
surrendering at the Lotus Feet of Sai Nath",intermediate,medium slow,sanskrit / hindi,hindolam / malkauns
Rama Harey Hari Naam Bolo ,Rama,"Sing of Ram, of Hari, of Sai who is Nanak, Krishna, Allah,
Maula (all-pervasive God), Sai Ram, most compassionate, whose light has dawned in the temple of my mind.",advanced,medium fast,sanskrit / hindi,chakravakam / ahir bhairav
Rama Harey Hari Naam Bolo ,Rama,"Sing of Ram, of Hari, of Sai who is Nanak, Krishna, Allah,
Maula (all-pervasive God), Sai Ram, most compassionate, whose light has dawned in the temple of my mind.",advanced,medium fast,sanskrit / hindi,chakravakam / ahir bhairav
Rama Harey Raghu Rama Harey ,Rama,"Hail to Rama, of the Raghu dynasty; soul of Seetha; Krishna with the blue complexion",,,sanskrit / hindi,pilu
Rama Krishna Govinda Narayana ,Rama,"Chant the many names of the Lord - Rama, Krishna, Narayana, Govinda, Hari, Lord of Lakshmi,
Lord who is infinite (without beginning or end), Sai Narayana, Sathya Narayana",intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Rama Krishna Govinda Narayana ,Rama,"Chant the many names of the Lord - Rama, Krishna, Narayana, Govinda, Hari, Lord of Lakshmi,
Lord who is infinite (without beginning or end), Sai Narayana, Sathya Narayana",,,sanskrit / hindi,yaman kalyan
Rama Krishna Govinda Narayana Keshava ,Rama,"Chant the name of Lord: Rama, Krishna, Narayana, Keshava and Madhava",intermediate,medium,sanskrit / hindi,yaman kalyan
Rama Krishna Jaya Bolo (Bhajamana) ,Rama,"Let the mind worship and sing the glory of Rama and Krishna; Victory to Rama, Krishna and Sai Baba, Ram, the jewel of the
Raghu family, Krishna, Radha's Lord of dark blue complexion; Glory to Ram, glory to Krishna.",simple,medium,sanskrit / hindi,natabhairavi
Rama Naama Thaarakam Sadaa Bhajorey ,Rama,"Always worship Lord Rama, who helps to liberate one-self. Victory
to Lord Rama - holder of 'Kodanda' bow. Victory to Lord Rama, 
bestower of auspiciousness. Victory to Lord Rama, 
the crowned King. Chant, 'Ram Ram Ram'.",,,sanskrit / hindi,mayamalavagowla / bhairav
Rama Naama Thaarakam Sadaa Bhajorey ,Rama,"Always worship Lord Rama, who helps to liberate one-self. Victory
to Lord Rama - holder of 'Kodanda' bow. Victory to Lord Rama, 
bestower of auspiciousness. Victory to Lord Rama, 
the crowned King. Chant, 'Ram Ram Ram'.",simple,medium,sanskrit / hindi,yaman kalyan
Rama Raaghava ,Rama,"Chant the name of Lord Rama, Lord Sai Rama and Lord Raghava.",,,sanskrit / hindi,shankarabharanam / bilawal
Rama Rama Jaya Raghukula Thilakaa ,Rama,"Worship lotus-eyed Lord Rama, Who is the auspicious Symbol of the Raghu dynasty
Worship the lotus-eyed Lord Sai Ram, Son of Mother Eashwaramma and Who is the Symbol of the Ratnakar dynasty",intermediate,medium slow,sanskrit / hindi,mohanam / bhoop
Rama Sumira Mana Rama Sumira Mana ,Rama,"O mind! remember Rama!, Dasaratha's son, beloved of Seetha,
Sacred Rama, cool, soothing and beautiful like the moon; Mentally sing the praises of Radhe and Krishna.",advanced,medium,sanskrit / hindi,shankarabharanam / bilawal
Shree Raghu Nandana Dasaratha Nandana ,Rama,"Revered son of the Raghu race, son of Dasaratha, destroyer of
evil, son of the Yadhu race of Devaki, remover of worldly fears, Sai Ram",advanced,slow,sanskrit / hindi,bowli
Shree Raghu Nandana Dasharatha Nandana ,Rama,"Worship Lord Rama of Raghu dynasty. You are the slayer of demons (evils).
O darling son of Devaki of Yadu dynasty. You are the dispeller of fear and the cycle of birth and death",,,sanskrit / hindi,
Shree Raghu Nandana Dasharatha Nandana ,Rama,"Worship Lord Rama of Raghu dynasty. You are the slayer of demons (evils).
O darling son of Devaki of Yadu dynasty. You are the dispeller of fear and the cycle of birth and death",advanced,slow,sanskrit / hindi,bowli
Shree Raghu Nandana Janaki Jeevan ,Rama,"Chant the name of Lord Rama - Prince of raghu dynasty and Lord of Seetha.
O Lotus eyed Lord Rama! You are the destroyer of demons and also the 
cycle of birth and death. Chant 'Ram Ram Ram Sai'",advanced,medium slow,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Shree Rama Rama Ram Yadu Nandana Hey Ghanashyaam ,Rama,Victory to Shree Rama and Shree Krishna!,intermediate,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Vaidehi Priya Vaikuntha Rama ,Rama,"Oh Rama of Vaikuntha (abode of Vishnu, one of the Hindu trinities)
who is fond of Vaidehi (Seetha), You uplift the devotees. You are the 
consort of Seetha and You were born in the Raghu dynasty. Salutations 
to You Rama, the son of Dasharatha, the one served by Lakshmana (Rama's younger brother",advanced,medium slow,sanskrit / hindi,gowri manohari / patdeep
Aadi Narayana Sai Narayana ,Krishna,"Victory to Lord Hari Narayana and Lord Sai Narayana. You are
the resident of Pandari - Lord Narayana and Lord of Parthi - Lord 
Sai Narayana. Victory to boon conferring Lord Narayana, who is the giver of Vedas.",advanced,medium fast,sanskrit / hindi,chandrakauns
Aadi Narayana Sai Narayana ,Krishna,"Victory to Lord Hari Narayana and Lord Sai Narayana. You are
the resident of Pandari - Lord Narayana and Lord of Parthi - Lord 
Sai Narayana. Victory to boon conferring Lord Narayana, who is the giver of Vedas.",intermediate,medium,sanskrit / hindi,mayamalavagowla / bhairav
Alakha Niranjana Bhava Bhaya Bhanjana Naaraayan Naaraayan ,Krishna,"Imperceptible, faultless Lord; Destroyer of fears of worldly
existence, Sai who destroys fear of cycle of birth and death. Chant 'Narayana, Narayana'.",simple,fast,sanskrit / hindi,jaunpuri
Bhaja Govindam Bhaja Govindam ,Krishna,"Sing the name of Krishna, all the worldly wealth will not save
you from death. Why again birth and death?",,,,
Bhaja Mana Narayana Narayana Narayana ,Krishna,"O Mind! Worship Lord Narayana, Lakshmi,
Goddess of wealth and prosperity and Lord Sathya Sai Narayana.",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Bhaja Mana Ram Bhaja Mana Ram ,Krishna,"O Mind! Worship Lord Rama, Panduranga, Keshava, Madhava,
Yadava, Mukunda and Govinda. Be in bliss worshipping all these 
names of the Lord.",simple,medium,sanskrit / hindi,tilak kamod
Bhaja Mana Ram Bhaja Mana Ram ,Krishna,"O Mind! Worship Lord Rama, Panduranga, Keshava, Madhava,
Yadava, Mukunda and Govinda. Be in bliss worshipping all these 
names of the Lord.",,,sanskrit / hindi,kalyani / yaman
Bhajo Bhajo Vitthala Panduranga Vitthala ,Krishna,"Chant the name of Vitthala, Panduranga; Recite the names of Sai (who lives in Parthi),
Lord Parameshwara (Shiva), Lord Krishna, Lord Ranga",intermediate,medium fast,sanskrit / hindi,hindolam / malkauns
Bhajo Ghanashyaama Bhajo Seetha Rama Bhajo Sathya Sai Ram ,Krishna,"Worship Lord Krishna, Sai Ram - Lord of Seetha; O Enchanting
Divine Flute Player! Thou art Father, Mother, Guru, Brahma, Vishnu and Lord of Lords.",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Bhajo Ghanashyaama Bhajo Seetha Rama Bhajo Sathya Sai Ram ,Krishna,"Worship Lord Krishna, Sai Ram - Lord of Seetha; O Enchanting
Divine Flute Player! Thou art Father, Mother, Guru, Brahma, Vishnu and Lord of Lords.",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Bhajo Ghanashyaama Bhajo Seetha Rama Bhajo Sathya Sai Ram ,Krishna,"Worship Lord Krishna, Sai Ram - Lord of Seetha; O Enchanting
Divine Flute Player! Thou art Father, Mother, Guru, Brahma, Vishnu and Lord of Lords.",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Bhajo Madhura Hari Naam Niranthara Bhajo Madhura Hari Naam ,Krishna,"Worship and recite for ever the enchanting and sweet name of
Lord Hari. There is no happiness and peace without chanting the 
sweet name of Lord Sai, the Resident of Prasantinilayam",intermediate,fast,sanskrit / hindi,jaunpuri
Bhajorey Sadaa Bhajo Ram Krishna Govinda ,Krishna,"Always chant the name of Lord Rama, Krishna, Govinda and Sai
Ram. It is the support and shelter of the needy and to those who have no support",simple,medium fast,sanskrit / hindi,hamsadhwani
Bolo Narayana Jai Jai Vitthala ,Krishna,"Chant the names of Narayana. Victory to Vithhala. Chant the name of Lord Sai who is also Vithhala; who is also Govinda Vithhala;
who is also Rukmini's husband Vithhala; who is also Gopala and Panduranga.",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Bolo Narayana Jai Jai Vitthala ,Krishna,"Chant the names of Narayana. Victory to Vithhala. Chant the name of Lord Sai who is also Vithhala; who is also Govinda Vithhala;
who is also Rukmini's husband Vithhala; who is also Gopala and Panduranga.",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Chandra Vadana Kamala Nayana ,Krishna,"His face full and radiant as the moon, his eyes like the lotus
Lord Sai, Narayana, Reclining eternally on a serpent, he is the refuge for those in need.",advanced,medium fast,sanskrit / hindi,"miyan ki malhar, darbari"
Dayaa Karo Hari Narayana ,Krishna,"O Lord Hari Narayan! Have mercy and shower grace on us. O
Lord of Parthipuri, Shree Sai Ram! Who is kind and merciful towards the forlorn. Grant us Grace.",intermediate,medium,sanskrit / hindi,~ darbari
Dayaa Karo Hari Narayana ,Krishna,"O Lord Hari Narayan! Have mercy and shower grace on us. O
Lord of Parthipuri, Shree Sai Ram! Who is kind and merciful towards the forlorn. Grant us Grace.",advanced,medium,sanskrit / hindi,darbari
Devaki Thanaya Dayaa Nidhey ,Krishna,"Son of Devaki, treasure house of compassion and grace, Give us Your darshan, Lord of Lords;
Lord and refuge of the helpless, Lord Sai",advanced,medium slow,sanskrit / hindi,yaman kalyan
Garuda Vaahana Narayana ,Krishna,"O Narayana, who has the celestial bird Garuda as His vehicle
O Lord Narayana who reclines on the serpent Sesha who is the beloved Lord of Lakshmi, 
who is the Embodiment of Om and the destroyer of evil",simple,fast,sanskrit / hindi,vakulabharanam / basant mukhari
Govinda Bolo Gopaala Bolo ,Krishna,"Sing (chant) the names of Govinda, Gopala, Ram and Hari;
the names of Allah, Nanak (Guru Nanak), Zoraster, Buddha and Mahaveera; 
all these names are the props in life. Open the wall (doors) to 
supreme Bliss; whatever name you like, call upon that name, but chant it with Love and Devotion",intermediate,slow,sanskrit / hindi,chakravakam / ahir bhairav
Govinda Bolo Gopaala Bolo ,Krishna,"Sing (chant) the names of Govinda, Gopala, Ram and Hari;
the names of Allah, Nanak (Guru Nanak), Zoraster, Buddha and Mahaveera; 
all these names are the props in life. Open the wall (doors) to 
supreme Bliss; whatever name you like, call upon that name, but chant it with Love and Devotion",intermediate,slow,sanskrit / hindi,chakravakam / ahir bhairav
Govinda Gopaala Narayana Hari ,Krishna,"Hey Govinda, Gopaala, Narayana, Hari (all different appellations of
Lord Krishna), Hey uplifter of this world, Thou art the uplifter of 
the devotee, Thou art the Lord of Puttaparthi (asi of Puttaparthi), Victory to Thee, Hey Narayana",advanced,medium fast,sanskrit / hindi,mohanam / bhoop
Govinda Harey Gopaala Harey ,Krishna,"Chant Govinda, Gopaal. In Treta Yuga, Thou incarnated as Lord
Ram - Lord of Seetha; in Dwapara Yuga as Lord of Radha - Lord 
Shyaama; in Kali Yuga as Lord Sai encompassing all names and forms.",advanced,slow,sanskrit / hindi,darbari
Govinda Krishna Vitthaley Venu Gopaala Krishna Vitthaley ,Krishna,"Lord Krishna, Lord of Vitthala, the flute player and cowherd Krishna; Krishna, Lord of Vitthala",advanced,medium fast,sanskrit / hindi,abheri / bhimpalas
Govinda Krishna Vitthaley Venu Gopaala Krishna Vitthaley ,Krishna,"Lord Krishna, Lord of Vitthala, the flute player and cowherd Krishna; Krishna, Lord of Vitthala",intermediate,medium slow,sanskrit / hindi,mishra shivaranjani
Govinda Narayana Gopaala Narayana ,Krishna,"Names of Krishna, incarnation of Vishnu (Narayana). Knower of the hearts of all.",intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Govinda Rama Jai Jai Gopaala Rama ,Krishna,"Glory to Krishna, Rama; Who are difficult to attain when sought
externally, easily attained when sought within. Rama, You are the Lord in many forms",simple,medium fast,sanskrit / hindi,senjurutti / jhinjhoti
Harey Krishna Harey Krishna Krishna Krishna Harey Harey ,Krishna,Chant the names of Krishna and Rama,simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Harey Krishna Harey Krishna Krishna Krishna Harey Harey ,Krishna,Chant the names of Krishna and Rama,intermediate,medium,sanskrit / hindi,"shankarabharanam / bilawal, khamaj"
Harey Rama Harey Rama Rama Rama Harey Harey ,Krishna,"Glory to Ram and Krishna; Hail to that noble teacher
who is Brahma, Vishnu and Shiva and who is truly the 
Supreme Brahman. I offer my salutations to such a Guru",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Harey Rama Harey Rama Rama Rama Harey Harey ,Krishna,"Glory to Ram and Krishna; Hail to that noble teacher
who is Brahma, Vishnu and Shiva and who is truly the 
Supreme Brahman. I offer my salutations to such a Guru",,,sanskrit / hindi,
Harey Rama Harey Rama Rama Rama Harey Harey ,Krishna,Chant the names of Lord Rama and Lord Krishna,simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Harey Rama Harey Rama Rama Rama Harey Harey ,Krishna,Chant the names of Lord Rama and Lord Krishna,,,sanskrit / hindi,
Harey Rama Harey Rama Rama Rama Harey Harey ,Krishna,"Chant the name of Lord Rama, Krishna, Madhava, Raghava.
Chanting the mantra ""Harey Rama..... Rakshamam"" destroys the miseries of life and grants protection",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Harey Rama Harey Rama Rama Rama Harey Harey ,Krishna,"Chant the name of Lord Rama, Krishna, Madhava, Raghava.
Chanting the mantra ""Harey Rama..... Rakshamam"" destroys the miseries of life and grants protection",,,sanskrit / hindi,
Hari Bolo Harey Ram Naam ,Krishna,"Chant the Divine names of Lord Rama, Lord Krishna and Lord Sathya Sai",intermediate,medium fast,sanskrit / hindi,sumanesa ranjani / madhukauns
Hari Bol Hari Bol Hari Hari Bol ,Krishna,"Chant the Divine names of Shree Krishna, who is Radha's consort,
Shree Rama, who is the pride of Raghu dynasty, Shiva and Sai Baba.",simple,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Hari Hari Bol Hari Hari Bol ,Krishna,"Chant the names of Hari, Mukund, Madhav, Govind Keshav, Sai Ram, Sai Krishna, Shirdi Sai and Parthi Sai.",simple,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Hari Hari Om Shiva Shankara Om ,Krishna,"Glory to Hari, Shiva, Keshava who are different forms of the
Divine Power which is Om. He is the Omnipresent indweller of all beings",simple,medium fast,sanskrit / hindi,~ shankarabharanam / bilawal
Hari Hari Om Shiva Shankara Om ,Krishna,"Glory to Hari, Shiva, Keshava who are different forms of the
Divine Power which is Om. He is the Omnipresent indweller of all beings",simple,medium fast,sanskrit / hindi,~ shankarabharanam / bilawal
Hari Hari Govinda Narayana ,Krishna,Chanting the many names of the Lord destroys the sins.,intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Hari Hari Narayana ,Krishna,"Chant the many name of the Lord: Hari, Narayana, Govinda, Gopaala,
Hrishikesha and Lord Narayana residing in Parti",advanced,medium,sanskrit / hindi,chandrakauns
Hari Naam Sumira Hari Naam Sumira Hari Naam Sumira Bhajare ,Krishna,"Chant the name of Hari, The Sustainer of three worlds (physical, subtle and causal)
Contemplate the Name of the Lord, who bestows Happiness and is the Saviour of the helpless",intermediate,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Hari Narayana Govinda Bhaja Narayana Govinda ,Krishna,"Glory to Sai who is Hari, Govinda, Mukunda, the Lord Sai of Parthi who
is the present Avatahar in Kali Yug, the Lord who strolls in Vrindaavana",simple,medium,sanskrit / hindi,shankarabharanam / bilawal
Hari Narayana Govinda Bhaja Narayana Govinda ,Krishna,"Glory to Sai who is Hari, Govinda, Mukunda, the Lord Sai of Parthi who
is the present Avatahar in Kali Yug, the Lord who strolls in Vrindaavana",simple,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Hari Narayana Hari Narayana Hari Narayana Bhajore ,Krishna,"Sing in praise of Hari Narayana (Vishnu). Sing in praise of Sathya Narayana and Sai Narayana
Sing in praise of Gopaala, the One who is adored by the Gopis",intermediate,medium fast,sanskrit / hindi,mishra shivaranjani
Hari Om Aananda Narayana ,Krishna,"Chant the name of the blissful Lord: Hari, Narayana and Sai,
who is the sustainer of the three worlds",advanced,medium,sanskrit / hindi,~ janasammohini
Hari Om Hari Om Hari Om Narayana ,Krishna,"Oh Hari (Krishna), Oh Narayana (Krishna), You are the One with the
most peaceful form, reclining on the serpent. Oh Padmanabha (Vishnu 
the One from whose navel the Lotus arises), Oh Narayana, the One 
who enchants Parthi, the One with lotus shaped eyes, You are the Lord of Puttaparthi, Oh Sai Narayana",advanced,slow,sanskrit / hindi,"kanada, darbari"
Hey Krishna Hey Krishna ,Krishna,"This is a ""namavali"" or a string of various names of the
particular God. The song says ""Victory to You, Shree Krishna""",advanced,fast,sanskrit / hindi,~ madhyamavati / madhmad sarang
Hey Sai Ranga Hey Paanduranga ,Krishna,"O Lord Sai Ranga! O Lord Panduranga! Thou art full of infinite mercy
and reciting Thy name creates the wave of sublime feelings and emotions 
in the heart. Victory to Lord Sai Ranga, who is all Bliss and ever in Bliss",advanced,slow,sanskrit / hindi,"keeravani, sarasangi / nat bhairav"
Jai Hari Vitthala Sai Shree Hari Vitthala ,Krishna,"Glory to Krishna, the cowherd Boy, Radha's Beloved Charming Lord Krishna, Sai Krishna of Puttaparthi",,,sanskrit / hindi,~ shankarabharanam / bilawal
Jai Jai Jai Narayana ,Krishna,"Victory to Lord Narayana. Chant the many names of Lord : Govinda,
Gopaala, Narayana, Mukunda, Madhava, Krishna, Sai Narayana.",intermediate,medium,sanskrit / hindi,mohanam / bhoop
Jai Jai Vitthala Paanduranga Vitthala ,Krishna,Victory to Lord Panduranga.,simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Jaya Narayana Jaya Hari Om ,Krishna,All Glory and victory to God embodied in the symbol Om. His sacred names destroy all sins.,simple,medium fast,sanskrit / hindi,natabhairavi
Jaya Narayana Jaya Hari Om ,Krishna,All Glory and victory to God embodied in the symbol Om. His sacred names destroy all sins.,simple,fast,sanskrit / hindi,vakulabharanam / basant mukhari
Jaya Narayana Sathya Narayana ,Krishna,"Glory to Sathya Narayana; Krishna, God incarnate in all beings,
Lord of Lakshmi, Narayana, guide of all souls who has come as Krishna and as Sai; He who liberates us.",intermediate,slow,sanskrit / hindi,lalit
Jaya Panduranga Jaya Vitthala ,Krishna,"Victory to Krishna as Panduranga, director of the play of life, who fosters
the universe. Most compassionate Lord worshipped by Purandhara.",intermediate,medium,sanskrit / hindi,~ shankarabharanam / bilawal
Jaya Ranga Paanduranga ,Krishna,"Victory to Lord of Pandharpur - Lord Panduranga, Lord of Shirdi and
Parthi - Lord Sai, Hari and Vittal. Chant the names of Lord Panduranga, Sai, Hari and Vittal",simple,medium fast,sanskrit / hindi,shankarabharanam / bilawal
Jhulena Mey Jhuley Merey Sai Nandalaala ,Krishna,"O Lord Sai! O Lord Krishna, the beloved of Radha and lover
of Raasa dance! Swing slowly and gently in our hearts forever and enchant us with thy divine music on flute.",intermediate,medium,sanskrit / hindi,yaman kalyan
Jhulena Mey Jhuley Merey Sai Ram ,Krishna,"O Lord Sai Ram! Beloved Son of Eeswaramma! Swing slowly and
gently in the temple of our minds and our hearts forever and enchant us with thy divine music on flute.",simple,fast,sanskrit / hindi,pahadi
Johi Hari Kaa Bhajana Karey ,Krishna,"Whoever chants the spiritual glory of Hari, our Sai, attains the highest
abode and mergence with Lord Hari and crosses the ocean of life and death.",advanced,,sanskrit / hindi,basanth
Kamala Nayana Bhagawaan ,Krishna,"Oh Lord with lotus petalled eyes, Oh Lord Sathya Sai! Thou art the very life breath of the miserable.
You are the most auspicious and holy, You are the Lord of Puttaparthi, victory to Thee, Sai Ram",intermediate,medium,sanskrit / hindi,tilang
Kamala Nayan Prabhu Kamala Pathey ,Krishna,"Worship the Lotus-eyed Lord, Lord of Lakshmi, seated on a Lotus
in the Lotus posture, Who is Lotus-navelled.",advanced,medium,sanskrit / hindi,maru bihag
Kamala Vadana Sai Ranga ,Krishna,"O! Lotus-faced Lord Sai Ranga, bestower of salvation; blue-hued
Sai Gopaala, wearing a mass of curly hair, the Lord of Three 
Worlds, the embodiment of Brahma, Vishnu and Maheswara 
(Creation, Sustenance and Destruction), who enchants with Maya.",intermediate,medium fast,sanskrit / hindi,bilahari
Kasturi Ranga Kaveri Ranga Shree Ranga Ranga Ranga ,Krishna,"Chant the Name of Narayana who wears the Tilaka of Kasthuri, who wears the ornament of compassion
He is auspicious and the Doer of good things He rides on Garuda and reclines on Sesha-Naga",intermediate,medium slow,sanskrit / hindi,nadanamakriya
Krishnam Vandey Nanda Kumaram ,Krishna,"I bow to Thee, O Prince of Nanda! Stealer of our hearts and
beloved of Radha! O Prince of Dasaratha and beloved of Seetha",intermediate,medium fast,sanskrit / hindi,sindhu bhairavi / bhairavi
Krishnam Vandey Nanda Kumaram ,Krishna,"I bow to Thee, O Prince of Nanda! Stealer of our hearts and
beloved of Radha! O Prince of Dasaratha and beloved of Seetha",,,sanskrit / hindi,hamir kalyani / kedar
Ksheeraabdhi Shayana Narayana ,Krishna,"Lord who reclines on the ocean of milk, husband and Lord of
Lakshmi; Narayana, protector of destitute, Lord who resides 
in heaven; Enchanter of Seetha's mind; Lord who incarnates in the form of man, Narayana.",intermediate,medium fast,sanskrit / hindi,dwijavanti / jaijaivanti
Mana Mandir Mey Aavo Giridhaari ,Krishna,"O Lord of Surdas (devotee), Lord Shyaam Murari! Our Eyes are
shedding tears for Thy Dharshan. Please present Thyself in our mind and heart.",advanced,medium slow,sanskrit / hindi,shivaranjani
Mandir Mey Aavo Madhava ,Krishna,"Come, (Sai)Krishna, be enshrined in the temple of my heart! Thou
art the primeval Narayana, Thou art the limitless Sai. It is in 
Your devotees' hearts where you dwell. Come and be enshrined in 
my heart. As Krishna You were Radha's consort, and You were 
Rukmini's Vitthala. You are also the Great Vishnu. Please come to me.",intermediate,medium,sanskrit / hindi,pilu
Mandir Mey Aavo Madhava ,Krishna,"Come, (Sai)Krishna, be enshrined in the temple of my heart! Thou
art the primeval Narayana, Thou art the limitless Sai. It is in 
Your devotees' hearts where you dwell. Come and be enshrined in 
my heart. As Krishna You were Radha's consort, and You were 
Rukmini's Vitthala. You are also the Great Vishnu. Please come to me.",intermediate,medium,sanskrit / hindi,pilu
Manuva Bolo Radhey Radhey Radhey Radhey Shyaama Naam ,Krishna,"Everybody sing the names of Radha and Krishna; Ram and Seetha;
Panduranga; Our Lord Sai residing in Puttaparthi; 
He is the eternal companion of Tukaram, Naamadeva and all devotees; Panduranga is a name for Krishna",simple,medium fast,sanskrit / hindi,pahadi
Naama Bhajo Hari Naama Bhajo ,Krishna,"Chant the name of Hari (Vishnu), Narayana, Krishna. Chant the name of
Sai Narayana of Brindavana, chant the name of the Lord",intermediate,medium,sanskrit / hindi,bihag
Namo Namo Hari Narayana ,Krishna,"Salutations to Thee, Hey Narayana, the One who came in the form of
man lion (Narasimha), the One with the form of sond (Om), 
the Lord of Puttaparthi, the One who helps to free oneself from 
sin. Hey Narayana, salutations to Thee",advanced,medium,sanskrit / hindi,shuddha dhanyasi
Nandana Yadu Nandana Anandana Chitta Chandana ,Krishna,"Nandana (Son of Nanda) Who is our blissful Consciousness,
who is adored in the form of the Guru Krishna as the highest Knowledge, 
Consciousness, and Bliss; Guard and protect me, O Rama, O Krishna",,,sanskrit / hindi,abheri / bhimpalas
Narayan Narayan Bhaja Mana Narayan ,Krishna,"Chant the sacred name of Narayana (Vishnu) in your mind.
Chant the name of Hari, Madhava, Narayana (different names 
for Vishnu). He is the enchanting blue complexioned One with 
the flute. He is my Lord Ram, he is Krishna, he is my perceptor Lord Sai",intermediate,medium fast,sanskrit / hindi,~ natabhairavi
